precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂESCU GHEORGHE-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","TRIŢĂ-RĂESCU SILVIA-BERTA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOŞNEANU GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
27,MEHEDINŢI,"CĂMIN CULTURAL BUSEȘTI",202,ISVERNA,112370,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:07",141,128,0,13,0,101,88,0,13,0,99,2,143,42,91,7,1
27,MEHEDINŢI,"CĂMIN CULTURAL ISVERNA",201,ISVERNA,112370,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:40:28",1274,1245,1,18,10,896,868,0,18,10,863,33,1391,495,730,104,29
27,MEHEDINŢI,"ȘCOALA GENERALĂ NADANOVA",203,ISVERNA,112370,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:51",338,310,0,26,2,246,218,0,26,2,233,13,373,127,209,22,2
