precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi"
5,BIHOR,"CAMIN CULTURAL CHERIU",469,OŞORHEI,30274,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:43:58",737,715,2,20,0,433,413,0,20,0,387,25,798,386,49,310,5,1,21,1
5,BIHOR,"CĂMIN CULTURAL FELCHERIU",470,OŞORHEI,30274,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:28:45",286,263,1,22,0,211,188,1,22,0,203,7,289,79,8,173,6,1,9,6
5,BIHOR,"CĂMIN CULTURAL FUGHIU",471,OŞORHEI,30274,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:45",1096,1075,4,16,1,623,606,0,16,1,606,17,1192,569,26,396,20,141,21,2
5,BIHOR,"ȘCOALA GIMNAZIALA „AUREL POP” OȘORHEI",466,OŞORHEI,30274,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:51:38",1578,1544,15,19,0,766,746,1,19,0,738,28,1726,955,50,462,62,111,48,5
5,BIHOR,"ȘCOALA GIMNAZIALA „AUREL POP” OȘORHEI",467,OŞORHEI,30274,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:48",1615,1601,1,12,1,822,809,0,12,1,803,19,1758,936,42,550,72,88,48,3
5,BIHOR,"ȘCOALA PRIMARĂ NR.1 ALPAREA",468,OŞORHEI,30274,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:14",1004,971,3,30,0,683,652,1,30,0,681,2,1067,384,23,612,19,3,20,4
