precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎTCĂ IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NECHIFOR FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NICA GEORGE-CLAUDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","DEDIU NICOLAE-PARTIDUL S.O.S. ROMÂNIA-voturi","MIHALACHI FLORICA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
41,VRANCEA,"COLEGIUL NAȚIONAL „EMIL BOTTA” - CORP B - SALA DE FESTIVITĂȚI",60,"MUNICIPIUL ADJUD",174860,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:29",866,856,1,9,0,357,348,0,9,0,337,20,958,601,35,121,152,12,17
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” A",69,"MUNICIPIUL ADJUD",174860,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:01:13",1398,1392,0,6,0,660,654,0,6,0,645,15,1535,875,58,255,188,17,127
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” B",70,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:57:26",1205,1197,0,7,1,506,498,0,7,1,478,28,1324,818,33,170,144,16,115
41,VRANCEA,"SALA DE SPORT",67,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:38:41",1171,1163,0,6,2,534,526,0,6,2,515,19,1286,752,47,203,213,21,31
41,VRANCEA,"SCOALĂ GENERALA ADJUDU VECHI",72,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:56:39",1396,1390,0,5,1,621,615,0,5,1,583,38,1535,914,47,169,295,24,48
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”ANGELA GHEORGHIU”",68,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:39:57",1561,1551,1,6,3,693,684,0,6,3,667,26,1726,1033,52,290,230,31,64
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”MAREȘAL ALEXANDRU AVERESCU”",62,"MUNICIPIUL ADJUD",174860,6,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:30",1326,1319,0,7,0,538,531,0,7,0,502,36,1445,907,25,135,172,22,148
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”MIHAIL ARMENCEA”",61,"MUNICIPIUL ADJUD",174860,5,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:14",991,981,0,10,0,453,443,0,10,0,437,16,1094,641,50,189,170,11,17
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „PRINCIPELE RADU”",66,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:13:19",1391,1380,1,7,3,581,571,0,7,3,550,21,1527,956,53,205,180,27,85
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” A",63,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:54:16",1178,1169,1,5,3,468,460,0,5,3,445,23,1293,825,23,186,173,19,44
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” B",64,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:21:19",1155,1149,0,6,0,475,469,0,6,0,457,18,1287,812,47,166,180,22,42
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” C",65,"MUNICIPIUL ADJUD",174860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:40",1174,1169,0,5,0,446,441,0,5,0,431,15,1289,843,45,177,162,10,37
41,VRANCEA,"SCOALĂ PRIMARA BURCIOAIA",71,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:50:42",437,433,0,3,1,169,165,0,3,1,158,11,480,311,22,41,70,10,15
41,VRANCEA,"SCOALĂ PRIMARA SISCANI",73,"MUNICIPIUL ADJUD",174860,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:25:36",711,704,0,7,0,336,329,0,7,0,323,13,765,429,22,110,155,9,27
