precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BIRÓ KÁROLY-voturi"
21,HARGHITA,"CLĂDIREA CĂMINULUI CULTURAL TOMEȘTI",270,TOMEŞTI,86453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:51",996,981,1,0,14,540,526,0,0,14,532,8,1100,560,511,21
21,HARGHITA,"CLĂDIREA CĂMINULUI CULTURAL TOMEȘTI",269,TOMEŞTI,86453,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:05",1157,1137,3,0,17,623,606,0,0,17,612,11,1250,627,576,36
