precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DINCĂ MARIAN-EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGOMIR FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL ,NR.1 SEACA , SAT SEACA , JUDETUL TELEORMAN , STRADA VICTORIEI , NR.75",276,SEACA,154139,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:07",1263,1114,0,88,61,720,571,0,88,61,713,7,1289,569,508,205
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.2 NAVODARI , SAT NAVODARI, COMUNA SEACA , JUDETUL TELEORMAN, STRADA DUNARII, NR.107",277,SEACA,154139,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:39",643,562,0,33,48,491,410,0,33,48,482,9,670,179,334,148
