precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞERBAN VASILE-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GRIGORE ION-ADRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","STAN DUMITRU-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LIXANDRU CARMEN-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,2,PART,PRCNCT,P,P_SV,"2024-06-11 19:45:55",1106,1078,0,15,13,753,725,0,15,13,732,21,1200,447,219,212,57,244
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,3,PART,PRCNCT,P,P_SV,"2024-06-11 19:58:51",1110,1100,0,2,8,758,748,0,2,8,734,24,1214,456,237,222,37,238
