precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","PARTIDUL NAȚIONAL DE CENTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIŞCAREA NOI, PLOIEŞTENII-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:53",1072,1067,3,2,0,476,474,0,2,0,452,24,1198,722,91,52,101,82,12,7,8,31,15,50,3
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:25",1570,1563,0,7,0,636,629,0,7,0,608,28,1700,1064,136,69,102,103,16,8,15,45,34,69,11
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:13:56",891,882,0,9,0,382,373,0,9,0,368,14,1000,618,91,45,105,49,3,1,1,24,14,31,4
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:05:51",1247,1239,0,8,0,510,502,0,8,0,477,14,1400,895,95,58,119,75,14,2,7,33,19,53,2
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",42,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:36:42",1367,1360,0,2,5,555,548,0,2,5,528,27,1500,945,77,97,105,78,26,0,9,44,24,60,8
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",44,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:14:58",1299,1294,1,3,1,471,467,0,3,1,447,24,1400,929,74,66,136,50,14,3,7,36,9,47,5
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",43,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:46:22",1205,1198,0,6,1,466,459,0,6,1,439,27,1300,834,66,53,97,81,15,2,1,24,25,67,8
31,PRAHOVA,"CANTINA DE AJUTOR SOCIAL",41,"MUNICIPIUL PLOIEŞTI",130534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:50:34",1333,1327,0,6,0,520,514,0,6,0,490,23,1400,886,95,67,131,57,24,3,5,26,25,53,4
31,PRAHOVA,"CASA CORPULUI DIDACTIC",52,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:34",785,780,0,5,0,335,330,0,5,0,323,12,900,565,58,43,65,52,9,3,3,42,8,38,2
31,PRAHOVA,"CASA CORPULUI DIDACTIC",51,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:47:21",1055,1050,0,5,0,445,440,0,5,0,428,17,1100,655,78,58,61,79,13,4,10,45,18,54,8
