precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLDOVAN PETRICA-PARTIDUL NAȚIONAL LIBERAL-voturi","IOVESCU IOAN-AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","ROTĂRESCU ROMICĂ-PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"ŞCOALA GIMNAZIALĂ CONOP",235,CONOP,10453,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:10",457,418,0,25,14,345,306,0,25,14,336,9,480,135,118,217,1
2,ARAD,"ŞCOALA PRIMARĂ BELOTINŢ",236,CONOP,10453,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:55",245,235,1,6,3,154,144,1,6,3,149,5,260,106,68,79,2
2,ARAD,"ȘCOALA PRIMARĂ CHELMAC",237,CONOP,10453,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:35",240,215,0,19,6,181,156,0,19,6,179,2,240,59,52,122,5
2,ARAD,"ŞCOALA PRIMARĂ MILOVA",238,CONOP,10453,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:59",471,435,2,24,10,342,307,1,24,10,333,9,490,148,255,76,2
2,ARAD,"ŞCOALA PRIMARĂ ODVOŞ",239,CONOP,10453,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:28",383,351,0,24,8,264,232,0,24,8,260,4,400,136,192,66,2
