precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM NORMAL RACOȘ",404,RACOŞ,41701,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:06:35",1058,1052,2,4,0,706,701,1,4,0,657,49,1200,494,132,172,48,22,10,144,123,6
8,BRAŞOV,"SCOALA GENERALA „BETHLEN SAMUEL”",403,RACOŞ,41701,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:12:36",1132,1119,0,9,4,688,675,0,9,4,556,128,1200,516,116,73,196,52,4,67,23,25
8,BRAŞOV,"ȘCOALA PRIMARĂ ”IOAN IOSIF” MATEIAȘ",405,RACOŞ,41701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:41",402,395,0,7,0,235,228,0,7,0,183,52,433,198,56,6,28,21,45,4,19,4
