precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","BLOCUL SUVERANIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",166,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 19:20:35",2070,2024,34,11,1,1085,1072,1,11,1,1066,17,2280,1163,60,489,77,1,349,6,28,36,4,16
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",165,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-13 00:40:09",2165,2031,105,29,0,1098,1069,0,29,0,1069,24,2360,1262,61,432,95,2,414,2,29,24,1,9
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",69,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:55:27",593,571,11,10,1,246,235,0,10,1,236,9,662,416,36,81,11,2,74,2,15,8,1,6
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",68,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 11:55:58",960,888,55,16,1,341,323,1,16,1,329,12,1030,689,40,113,18,3,118,6,13,7,2,9
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",89,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 14:08:28",1179,1156,14,9,0,539,530,0,9,0,516,23,1280,741,57,189,45,4,163,7,21,18,3,9
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",88,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:45:43",1555,1523,13,18,1,768,748,1,18,1,750,18,1700,932,79,203,47,6,331,5,38,20,4,17
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",90,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 12:03:21",1413,1369,37,7,0,677,670,0,7,0,654,23,1550,23,64,253,50,2,213,10,28,17,7,10
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",30,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 10:44:00",1962,1908,48,6,0,1041,1035,0,6,0,1028,13,2147,1106,66,313,62,5,496,14,34,15,6,17
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",29,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 11:50:18",2037,1918,105,14,0,909,895,0,14,0,872,28,2220,112,71,306,68,3,350,10,40,11,5,8
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",28,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 15:56:29",2029,1967,48,13,1,958,943,1,13,1,938,17,2210,1252,109,313,50,5,342,8,63,25,4,19
