precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
5,BIHOR,"ȘCOALA GIMAZIALĂ NR.2 CHIȘCĂU",481,PIETROASA,30336,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:50",632,592,2,29,9,487,448,1,29,9,470,10,654,167,163,11,49,211,4,32
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR.1 PIETROASA",480,PIETROASA,30336,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:56:12",685,639,1,38,7,559,513,1,38,7,550,9,702,143,170,34,131,171,31,13
5,BIHOR,"ȘCOALA PRIMARĂ NR.1 GURANI",484,PIETROASA,30336,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:02",364,337,0,21,6,364,337,0,21,6,352,12,500,136,88,79,35,131,16,3
5,BIHOR,"ȘCOALA PRIMARĂ NR.2 COCIUBA MICĂ",482,PIETROASA,30336,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:44",371,362,0,6,3,248,239,0,6,3,228,20,400,152,58,10,74,76,1,9
5,BIHOR,"ȘCOALA PRIMARĂ NR.3 MĂGURA",485,PIETROASA,30336,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:07",242,228,0,12,2,189,175,0,12,2,181,8,254,65,31,68,12,56,0,14
5,BIHOR,"ȘCOALA PRIMARĂ NR.4 GIULEȘTI",483,PIETROASA,30336,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:13:26",124,118,0,5,1,98,92,0,5,1,95,3,129,31,10,3,11,60,1,10
5,BIHOR,"ȘCOALA PRIMARĂ NR.5 MOȚEȘTI",486,PIETROASA,30336,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:57:00",76,68,0,8,0,63,55,0,8,0,60,3,74,11,10,5,15,19,0,11
