county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-1","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","BENKŐ BLANKA-voturi","BENKŐ BLANKA-mandate-faza-1","BENKŐ BLANKA-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PĂŞTINA-GHERGU VIOREL-voturi","PĂŞTINA-GHERGU VIOREL-mandate-faza-1","PĂŞTINA-GHERGU VIOREL-mandate-faza-2","NAGY ISTVÁN-CSONGOR-voturi","NAGY ISTVÁN-CSONGOR-mandate-faza-1","NAGY ISTVÁN-CSONGOR-mandate-faza-2","VINCZI CSABA-voturi","VINCZI CSABA-mandate-faza-1","VINCZI CSABA-mandate-faza-2","BENKŐ JÁNOS-voturi","BENKŐ JÁNOS-mandate-faza-1","BENKŐ JÁNOS-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-1","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-2","BOÉR ROZÁLIA-voturi","BOÉR ROZÁLIA-mandate-faza-1","BOÉR ROZÁLIA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-voturi","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-mandate-faza-1","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-mandate-faza-2","INCZE ISTVÁN-voturi","INCZE ISTVÁN-mandate-faza-1","INCZE ISTVÁN-mandate-faza-2","ALIANȚA PENTRU ÎNTORSURA BUZĂULUI - USR PNL-voturi","ALIANȚA PENTRU ÎNTORSURA BUZĂULUI - USR PNL-mandate-faza-1","ALIANȚA PENTRU ÎNTORSURA BUZĂULUI - USR PNL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","MORAR CLAUDIU-SEVERIAN-voturi","MORAR CLAUDIU-SEVERIAN-mandate-faza-1","MORAR CLAUDIU-SEVERIAN-mandate-faza-2","VRÂNCEAN ALEXANDRU-voturi","VRÂNCEAN ALEXANDRU-mandate-faza-1","VRÂNCEAN ALEXANDRU-mandate-faza-2","TUDOR-PRUNDAR PETRU-voturi","TUDOR-PRUNDAR PETRU-mandate-faza-1","TUDOR-PRUNDAR PETRU-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PAPUC LEVENTE-CONSTANTIN-voturi","PAPUC LEVENTE-CONSTANTIN-mandate-faza-1","PAPUC LEVENTE-CONSTANTIN-mandate-faza-2"
15,COVASNA,"AITA MARE",63777,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:17:35",1351,1304,7,11,29,682,643,1,11,27,648,34,1472,790,32,45,51,57,56,0,1,49,0,1,427,7,0,41,0,1,18,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,ARCUŞ,65113,1,FINAL,UAT,CL,CL_CE,"2024-06-11 10:56:55",1434,1400,7,0,27,875,848,0,0,27,857,18,1565,690,42,59,68,77,0,0,0,0,0,0,815,10,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BARCANI,63633,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:52:22",3090,3057,0,19,14,2036,2003,0,19,14,1912,124,3342,1306,95,133,152,141,1275,9,0,251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,198,1,0,117,0,1,20,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BĂŢANI,63802,2,FINAL,UAT,CL,CL_CE,"2024-06-14 14:39:41",3587,3545,3,10,29,1864,1825,0,10,29,1618,246,3941,2077,80,113,129,115,0,0,0,0,0,0,927,8,2,119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,348,1,0,45,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BELIN,63866,2,FINAL,UAT,CL,CL_CE,"2024-06-13 11:15:34",2264,2219,1,4,40,1410,1366,0,4,40,1324,86,2474,1064,66,92,105,92,18,0,0,55,0,0,459,4,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,6,1,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BIXAD,65121,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:53:05",1390,1362,4,3,21,645,621,0,3,21,627,18,1528,883,31,43,50,57,0,0,0,0,0,0,488,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BODOC,63893,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:59:24",2005,1967,4,6,28,1242,1207,1,6,28,1206,36,2183,941,60,84,96,109,0,0,0,0,0,0,1206,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,"BOROŞNEU MARE",63937,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:21:35",2636,2454,1,131,50,1431,1249,1,131,50,1402,29,2743,1312,70,98,112,107,0,0,0,471,4,0,931,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BRĂDUŢ,64041,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:51:31",3800,3641,2,16,141,2332,2179,0,16,137,2256,76,4164,1832,112,157,180,144,0,0,0,0,0,0,1960,13,1,33,0,0,0,0,0,0,0,0,212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BRATEŞ,64005,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:32:35",1178,1139,3,4,32,669,633,0,4,32,648,21,1272,603,32,45,51,72,0,0,0,0,0,0,648,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
