precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASILE GEORGEL-ALIANȚA ELECTORALĂ PSD PNL-voturi","MIHALACHE DIDINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DIMA ADRIAN-VALENTIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","RADU VALERICĂ-NICUŞOR-FORȚA DREPTEI-voturi"
25,ILFOV,"ŞCOALA DIN SATUL MERII PETCHII",255,NUCI,104421,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:24:47",866,780,0,35,51,696,610,0,35,51,682,14,900,204,274,22,35,351
25,ILFOV,"ŞCOALA DIN SATUL MICŞUNEŞTII-MOARĂ",256,NUCI,104421,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:15:18",1445,1308,0,64,73,1139,1002,0,64,73,1113,26,1442,303,655,18,45,395
