precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"ASOCIAȚIA DE PROPRIETARI NR.90",5,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:54:40",875,868,0,6,1,402,395,0,6,1,376,26,989,587,94,193,38,37,5,9
27,MEHEDINŢI,"ASOCIATIA LIGA ”SOLIDARITATEA” A PENSIONARILOR",20,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:46",1106,1094,1,11,0,445,434,0,11,0,422,23,1189,744,95,235,41,31,3,17
27,MEHEDINŢI,"CĂMIN CULTURAL BREZNITA-MOTRU",121,BREZNIŢA-MOTRU,110740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:33",853,713,0,79,61,657,517,0,79,61,633,24,846,189,221,369,30,3,4,6
27,MEHEDINŢI,"CĂMIN CULTURAL BROŞTENI",126,BROŞTENI,110875,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:06",1316,1201,0,86,29,886,771,0,86,29,857,29,1347,461,227,386,152,37,7,48
27,MEHEDINŢI,"CĂMIN CULTURAL BUSEȘTI",202,ISVERNA,112370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:07",141,128,0,13,0,101,88,0,13,0,97,4,143,42,10,70,10,7,0,0
27,MEHEDINŢI,"CAMIN CULTURAL ILOVĂŢ",198,ILOVĂŢ,112263,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:32:20",1210,918,1,241,50,953,662,0,241,50,911,29,1293,353,298,577,17,3,4,12
27,MEHEDINŢI,"CĂMIN CULTURAL ISVERNA",201,ISVERNA,112370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:40:29",1274,1245,1,18,10,896,868,0,18,10,855,41,1391,495,41,636,111,40,18,9
27,MEHEDINŢI,"CAMIN CULTURAL VANATORI",279,VÂNĂTORI,113849,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:07",923,845,0,16,62,503,425,0,16,62,492,11,930,427,89,353,20,20,4,6
27,MEHEDINŢI,"CĂMIN CULTURAL VÎNJULEŢ",281,VÂNJULEŢ,113894,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:39:44",1563,1463,12,39,49,766,678,0,39,49,732,34,1611,845,554,119,31,11,4,13
27,MEHEDINŢI,"CĂMINUL CULTURAL",190,GRUIA,112030,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:06",710,668,0,25,17,710,668,0,25,17,325,20,734,389,47,248,16,2,0,12
27,MEHEDINŢI,"CĂMINUL CULTURAL",153,CUJMIR,111444,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:17",1076,1005,0,25,46,701,631,0,25,45,671,30,1157,456,134,491,13,19,1,13
27,MEHEDINŢI,"CĂMINUL CULTURAL",154,CUJMIR,111444,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:12:00",685,593,0,19,73,502,410,0,19,73,478,24,704,202,98,354,8,12,1,5
27,MEHEDINŢI,"CĂMINUL CULTURAL BAHNA",200,ILOVIŢA,112334,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:05:09",437,406,0,25,6,324,293,0,25,6,307,17,447,123,80,190,16,14,1,6
27,MEHEDINŢI,"CĂMINUL CULTURAL BALA",96,BALA,110296,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:10:45",750,692,0,52,6,512,454,0,52,6,480,32,763,251,172,198,51,38,3,18
27,MEHEDINŢI,"CĂMINUL CULTURAL BALTA",106,BALTA,110456,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:30:30",438,280,0,145,13,370,212,0,145,13,355,15,483,113,226,88,22,5,3,11
