precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"CASA DE CULTURĂ NĂDLAC, STRADA 1 DECEMBRIE (STRADA 23 AUGUST),",142,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:01:32",1594,1567,7,8,12,807,785,2,8,12,770,37,1740,933,265,62,147,278,18
2,ARAD,"LICEUL TEORETIC „JOZEF GREGOR TAJOVSKY” NĂDLAC, ORAȘUL NĂDLAC - GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",144,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:20:09",1623,1591,4,6,22,855,826,1,6,22,838,17,1788,933,261,52,292,206,27
2,ARAD,"LICEUL TEORETIC „JOZEF GREGOR TAJOVSKY” NĂDLAC, PIAŢA UNIRII",141,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:55:59",1533,1500,3,7,23,813,783,0,7,23,795,18,1690,877,223,21,327,202,22
2,ARAD,"LICEUL TEORETIC „JOZEF GREGOR TAJOVSKY” NĂDLAC, STRADA 1 DECEMBRIE (STRADA 23 AUGUST)",143,"ORAŞ NĂDLAC",9627,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:36:31",1673,1639,1,8,25,859,826,0,8,25,831,28,1840,981,366,56,41,342,26
