precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STEGARU ELIAD-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂLIN ION-PARTIDUL NAȚIONAL LIBERAL-voturi","BADEA COSTIN-FORȚA DREPTEI-voturi"
31,PRAHOVA,"CĂMIN CULTURAL GORNET-CRICOV",440,GORNET-CRICOV,133615,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:42",769,736,0,12,21,550,517,0,12,21,536,14,800,250,46,101,382,7
31,PRAHOVA,"GRĂDINIȚA COȘERELE",441,GORNET-CRICOV,133615,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:41",637,613,1,2,21,414,391,0,2,21,406,8,700,286,23,97,273,13
31,PRAHOVA,"GRĂDINIȚA DOBROTA",442,GORNET-CRICOV,133615,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:59:25",364,350,0,7,7,257,243,0,7,7,249,8,397,140,13,71,115,50
