precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","NECULA NECULAI-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 1 IVEŞTI - CORP A",358,IVEŞTI,164543,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:33",1097,1079,0,2,16,636,618,0,2,16,615,21,1200,564,41,257,18,290,9
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 1 IVEŞTI - CORP B",359,IVEŞTI,164543,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:55",1086,1047,0,4,35,576,537,0,4,35,561,15,1185,609,24,281,14,232,10
