precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALMĂJANU RALUCA-GABRIELA-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL PERETU",231,PERETU,153543,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:25",1230,1224,0,5,1,712,706,0,5,1,677,35,1335,623,181,379,21,14,82
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL PERETU",233,PERETU,153543,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:05",998,998,0,0,0,574,574,0,0,0,553,21,1100,526,195,258,17,10,73
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL PERETU",232,PERETU,153543,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:30:52",1308,1302,0,5,1,785,779,0,5,1,748,37,1430,645,214,340,17,12,165
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GRIGORE DIMITRIE GHICA” PERETU",229,PERETU,153543,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:50:03",930,919,0,8,3,577,566,0,8,3,560,17,1003,426,237,231,15,12,65
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GRIGORE DIMITRIE GHICA” PERETU",230,PERETU,153543,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:38",1094,1081,0,12,1,664,651,0,12,1,637,27,1200,536,180,302,43,8,104
