precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ RUS",256,RUS,142499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:49",629,531,1,83,14,460,363,0,83,14,450,10,586,126,174,155,31,48,42
33,SĂLAJ,"ŞCOALA PRIMARĂ BUZAŞ",257,RUS,142499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:06:39",133,104,0,26,3,110,81,0,26,3,109,1,120,10,81,9,5,6,8
33,SĂLAJ,"ŞCOALA PRIMARĂ FÎNTÎNELE-RUS",258,RUS,142499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:30",165,132,1,29,3,141,108,1,29,3,133,8,150,9,111,14,3,2,3
