precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢERBEA AUREL-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BESOIU RODICA-PARTIDUL NAȚIONAL LIBERAL-voturi","FLEŞARIU CORNEL-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
34,SIBIU,"ȘCOALA PRIMARĂ CLASELE I-IV MERGHINDEAL",298,MERGHINDEAL,144964,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:04",737,704,1,11,21,348,320,1,9,18,333,15,780,432,225,61,47
34,SIBIU,"ȘCOALA PRIMARĂ DEALU FRUMOS",299,MERGHINDEAL,144964,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:30",586,561,3,12,10,313,291,0,12,10,296,17,627,314,253,25,18
