precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"APOSTU MARCEL-PARTIDUL NAȚIONAL LIBERAL-voturi","APOSTU MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","CURELARU ALEXANDRU-LUCIAN-FORȚA DREPTEI-voturi","BALAN BOGDAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"”SALA TINERETULUI”",414,POGONEŞTI,167259,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:22",175,164,0,9,2,114,103,0,9,2,111,3,200,86,21,49,38,3
39,VASLUI,"SCOALA GIMNAZIALA ”DIMITRIE NEGRUTIU”",413,POGONEŞTI,167259,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:01:03",1218,1190,0,6,22,692,664,0,6,22,664,28,1307,615,154,428,68,14
