county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","AILENEI DUMITRU-voturi","AILENEI DUMITRU-mandate-faza-1","AILENEI DUMITRU-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-mandate-faza-1","ALIANȚA NAȚIONAL CREȘTINĂ-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","TOMNIUC ADRIAN-voturi","TOMNIUC ADRIAN-mandate-faza-1","TOMNIUC ADRIAN-mandate-faza-2","LUNTRARIU GHEORGHIŢĂ-voturi","LUNTRARIU GHEORGHIŢĂ-mandate-faza-1","LUNTRARIU GHEORGHIŢĂ-mandate-faza-2","ULINIUC VALENTIN-voturi","ULINIUC VALENTIN-mandate-faza-1","ULINIUC VALENTIN-mandate-faza-2","BELDEA PUIU-CONSTANTIN-voturi","BELDEA PUIU-CONSTANTIN-mandate-faza-1","BELDEA PUIU-CONSTANTIN-mandate-faza-2","URSU MARIA-VIOLETA-voturi","URSU MARIA-VIOLETA-mandate-faza-1","URSU MARIA-VIOLETA-mandate-faza-2","STOICIUC MIHAELA-VIORICA-voturi","STOICIUC MIHAELA-VIORICA-mandate-faza-1","STOICIUC MIHAELA-VIORICA-mandate-faza-2","BOTEZATU DANIEL-voturi","BOTEZATU DANIEL-mandate-faza-1","BOTEZATU DANIEL-mandate-faza-2","CĂRĂUŞU IONUŢ-BOGDAN-voturi","CĂRĂUŞU IONUŢ-BOGDAN-mandate-faza-1","CĂRĂUŞU IONUŢ-BOGDAN-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","ŢUCĂ MARIAN-LAURENŢIU-voturi","ŢUCĂ MARIAN-LAURENŢIU-mandate-faza-1","ŢUCĂ MARIAN-LAURENŢIU-mandate-faza-2","BALTARIU SIMONA-OANA-voturi","BALTARIU SIMONA-OANA-mandate-faza-1","BALTARIU SIMONA-OANA-mandate-faza-2","NICORICI SANDU-FĂNICĂ-voturi","NICORICI SANDU-FĂNICĂ-mandate-faza-1","NICORICI SANDU-FĂNICĂ-mandate-faza-2","COZARIUC DUMITRU-voturi","COZARIUC DUMITRU-mandate-faza-1","COZARIUC DUMITRU-mandate-faza-2","GAVRILUŢĂ TATIANA-voturi","GAVRILUŢĂ TATIANA-mandate-faza-1","GAVRILUŢĂ TATIANA-mandate-faza-2","COSTAŞ DUMITRU-FLORIN-voturi","COSTAŞ DUMITRU-FLORIN-mandate-faza-1","COSTAŞ DUMITRU-FLORIN-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PODARIU ONICA-DANIELA-voturi","PODARIU ONICA-DANIELA-mandate-faza-1","PODARIU ONICA-DANIELA-mandate-faza-2","PODARU ANGELA-voturi","PODARU ANGELA-mandate-faza-1","PODARU ANGELA-mandate-faza-2","BURLACU CONSTANTIN-voturi","BURLACU CONSTANTIN-mandate-faza-1","BURLACU CONSTANTIN-mandate-faza-2"
7,BOTOŞANI,ROMA,38811,3,FINAL,UAT,CL,CL_CE,"2024-06-13 11:16:34",3117,3078,2,9,28,1499,1462,0,9,28,1432,67,3402,1903,71,100,114,110,85,0,1,542,4,1,665,6,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,ROMÂNEŞTI,38848,3,FINAL,UAT,CL,CL_CE,"2024-06-29 13:26:04",1578,1488,1,22,67,958,868,1,22,67,899,59,1701,743,44,62,71,81,67,0,1,292,3,0,455,5,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,"SANTA MARE",38893,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:48:37",2109,2063,2,23,21,1169,1127,0,21,21,1107,62,2284,1115,55,77,88,100,211,2,0,136,1,1,625,6,0,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,ŞENDRICENI,39122,3,FINAL,UAT,CL,CL_CE,"2024-06-13 11:23:36",3295,3258,1,15,21,1711,1674,1,15,21,1633,78,3667,1956,81,114,130,112,152,1,0,295,2,1,915,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,105,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,STĂUCENI,35884,3,FINAL,UAT,CL,CL_CE,"2024-06-13 11:03:42",3031,2975,2,23,31,1629,1574,1,23,31,1563,66,3328,1699,78,109,125,112,272,2,0,164,1,1,1031,9,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,ŞTIUBIENI,39220,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:01:01",1430,1334,0,15,81,1202,1106,0,15,81,1153,49,2386,1184,57,80,92,91,287,3,0,116,1,0,607,6,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,SUHARĂU,38982,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:37:28",3427,3395,2,8,22,1715,1684,1,8,22,1620,95,3777,2062,81,113,129,118,190,1,0,322,2,1,831,7,0,198,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,SULIŢA,39051,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:16:06",2368,2337,0,6,25,1357,1326,0,6,25,1317,40,2604,1247,65,92,105,119,86,0,1,360,3,0,339,2,1,532,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,TODIRENI,39266,2,FINAL,UAT,CL,CL_CE,"2024-06-29 13:32:58",2813,2719,0,28,66,1488,1403,0,28,57,1428,59,2948,1460,71,99,114,109,74,0,1,576,5,0,778,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BOTOŞANI,TRUŞEŞTI,39328,2,FINAL,UAT,CL,CL_CE,"2024-06-29 13:52:42",4340,4262,2,44,32,2291,2217,0,44,30,2209,82,4717,2426,110,154,176,147,750,5,0,747,5,0,712,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
