precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂTRAŞCU GEORGICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","CERBU-DURALIA IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","HÎRŞOVESCU DARIUS-ELVIS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHEORGHESCU VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ACHIMESCU NICOLAE-PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL BÎRÎIACU",236,PONOARELE,112995,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:36",237,220,0,13,4,173,156,0,13,4,167,6,247,74,67,82,17,1,0
27,MEHEDINŢI,"CĂMINUL CULTURAL GĂRDĂNEASA",237,PONOARELE,112995,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:27",394,380,0,14,0,264,250,0,14,0,252,12,418,154,135,93,18,5,1
27,MEHEDINŢI,"CĂMINUL CULTURAL GHEORGHEȘTI",238,PONOARELE,112995,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:29:44",518,505,0,10,3,352,339,0,10,3,343,9,552,200,118,141,45,38,1
27,MEHEDINŢI,"CĂMINUL CULTURAL PONOARELE",235,PONOARELE,112995,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:30:58",855,789,4,51,11,601,539,0,51,11,585,16,871,270,322,214,31,8,10
