precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi"
4,BACĂU,"ADMINISTRAȚIA FINANȚELOR PUBLICE BACĂU",21,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:33:03",953,942,1,10,0,381,371,0,10,0,363,18,1000,619,5,58,36,109,18,19,84,7,23,4
4,BACĂU,"ASOCIAȚIA ”SFÂNTUL VOIEVOD ŞTEFAN CEL MARE- HÂRJA”",475,OITUZ,23797,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:05",240,233,0,7,0,65,58,0,7,0,58,7,299,234,3,11,16,19,4,1,2,1,1,0
4,BACĂU,"BAZA SPORTIVA ”LIA MANOLIU” RĂCĂCIUNI",537,RĂCĂCIUNI,24766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:42",1575,1563,0,9,3,693,681,0,9,3,644,49,1700,1007,14,126,57,264,37,49,41,40,15,1
4,BACĂU,"BAZINUL OLIMPIC BACĂU",103,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:17",1533,1525,0,8,0,233,225,0,8,0,213,14,1700,1473,4,24,30,61,6,5,42,3,35,3
4,BACĂU,"BAZINUL OLIMPIC BACĂU",102,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:40",1785,1778,0,7,0,348,341,0,7,0,326,22,1900,1552,4,49,31,86,18,10,58,9,58,3
4,BACĂU,"BIBLIOTECA MUNICIPALĂ ” PROFESOR CONSTANTIN LOVIN”",131,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:26",1141,1136,1,4,0,494,489,1,4,0,466,28,1300,806,4,184,40,111,41,33,39,4,6,4
4,BACĂU,"BIBLIOTECA ORĂŞENEASCĂ ”GEORGE BACOVIA”",184,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:12:23",1669,1667,0,0,2,530,528,0,0,2,466,64,1800,1270,3,138,55,179,24,6,48,0,11,2
4,BACĂU,"BIBLIOTECA ORAŞULUI COMĂNEȘTI",195,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:23:31",1339,1331,1,7,0,589,582,0,7,0,573,16,1500,911,7,260,55,174,25,8,27,4,11,2
4,BACĂU,"BIBLIOTECA PUBLICA ”CALISTRAT HOGAS” BALCANI",248,BALCANI,21196,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:43:45",1067,1047,0,4,16,498,478,0,4,16,439,59,1200,702,7,172,65,154,18,9,10,1,3,0
4,BACĂU,"CABINET MEDICAL",582,SOLONŢ,25488,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:26",654,648,0,4,2,283,277,0,4,2,262,21,700,417,7,52,19,123,14,2,42,0,2,1
4,BACĂU,"CAMIN CULTURAL",594,"ŞTEFAN CEL MARE",20670,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:21",749,742,1,2,4,372,366,0,2,4,345,27,800,421,6,58,43,207,17,1,9,1,2,1
