precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","PÉTER FERENC-voturi"
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „KRIZA JÁNOS”",102,CĂPÂLNIŢA,83963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:37",847,836,0,4,7,451,440,0,4,7,425,26,900,449,171,223,31
21,HARGHITA,"ȘCOALA GIMNAZIALĂ „KRIZA JÁNOS”",101,CĂPÂLNIŢA,83963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:43",827,819,1,0,7,480,472,1,0,7,452,28,900,420,179,199,74
