precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FORUMUL CEHILOR DIN ROMÂNIA-voturi"
27,MEHEDINŢI,"FOSTA PRIMĂRIE EIBENTHAL",165,DUBOVA,112904,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:08",350,252,0,82,16,262,164,0,82,16,254,6,278,16,80,153,8,1,12
27,MEHEDINŢI,"FOSTA ŞCOALĂ BAIA NOUĂ",164,DUBOVA,112904,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:54:23",173,146,0,25,2,143,116,0,25,2,140,3,164,21,100,23,2,4,11
27,MEHEDINŢI,"PRIMĂRIA DUBOVA",163,DUBOVA,112904,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:51:25",517,427,0,68,22,393,303,0,68,22,387,5,470,78,169,155,44,18,1
