precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","DAN SEPTIMIU-voturi"
31,PRAHOVA,"CENTRU DE ZI PENTRU COPII ”ACUM AU NEVOIE DE NOI”",262,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:06:34",543,537,0,6,0,306,300,0,6,0,296,9,600,295,116,35,36,70,2,21,16
31,PRAHOVA,"CENTRUL CULTURAL ”CARMEN SYLVA”",261,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:56:13",500,482,2,12,4,292,276,0,12,4,266,10,528,252,90,33,38,51,1,11,42
31,PRAHOVA,"CENTRUL INTERNATIONAL DE CONFERINŢE CASINO",263,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:03",581,569,2,10,0,316,306,0,10,0,305,11,600,284,130,25,56,56,3,9,26
31,PRAHOVA,"CLUBUL SPORTIV CARPAŢI - SALA DE SPORT",258,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:35",768,744,0,17,7,435,411,0,17,7,425,10,800,365,197,38,76,73,3,22,16
31,PRAHOVA,"COLEGIUL ”MIHAIL CANTACUZINO” SALA AP.1",252,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:00:09",1518,1493,2,14,9,941,918,0,14,9,896,43,1600,661,402,67,101,191,10,82,43
31,PRAHOVA,"COLEGIUL ”MIHAIL CANTACUZINO” SALA AP.2",253,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:17:34",989,966,0,20,3,560,537,0,20,3,521,20,1100,559,227,46,52,123,12,19,42
31,PRAHOVA,"GRĂDINIȚA NR.2 CU PROGRAM NORMAL ”FLUTURAȘII”",254,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:11",736,723,0,9,4,416,403,0,9,4,407,9,797,381,146,36,47,116,3,22,37
31,PRAHOVA,"IMOBIL PROPRIETATE ORAS SINAIA",257,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:30",866,846,0,12,8,866,846,0,12,8,503,20,900,377,185,61,61,133,5,21,37
31,PRAHOVA,"ŞCOALA GIMNAZIALA ”GEORGE ENESCU” SALA 3 B",259,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:25:32",458,451,0,6,1,244,237,0,6,1,237,7,500,256,90,26,29,66,3,6,17
31,PRAHOVA,"ŞCOALA GIMNAZIALA ”GEORGE ENESCU” SALA I B",260,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:56",795,781,2,8,4,437,425,0,8,4,424,13,900,463,132,49,92,77,5,29,40
31,PRAHOVA,"SCOALA GIMNAZIALA ”PRINCIPESA MARIA”CORP A",255,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:21",644,625,0,13,6,387,368,0,13,6,371,16,706,319,99,43,54,104,7,32,32
31,PRAHOVA,"SCOALA GIMNAZIALA ”PRINCIPESA MARIA”CORP A",256,"ORAŞ SINAIA",131540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:34",948,937,0,8,3,587,576,0,8,3,557,30,1100,513,196,54,60,158,5,44,40
