precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAN SIMONA-MIHAELA-PARTIDUL SOCIAL DEMOCRAT-voturi","PALACIAN CORNELIA-ANCA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DĂMIAN GHEORGHE-voturi"
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:40:53",350,331,1,6,12,239,222,0,6,11,235,4,363,124,18,15,202
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:09",528,502,1,3,22,388,363,0,3,22,377,11,543,155,52,59,266
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:44",343,325,7,5,6,220,206,3,5,6,211,9,358,138,16,30,165
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:25",741,685,3,3,50,511,458,0,3,50,497,14,738,227,23,63,411
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:15",362,347,0,2,13,263,248,0,2,13,253,10,408,145,75,24,154
1,ALBA,"ŞCOALĂ GIMNAZIALĂ CIUGUD",230,CIUGUD,1071,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:36",602,573,5,9,15,444,420,0,9,15,404,16,618,198,33,43,328
