precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOCEA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","NIŢU VIORICA-SIMONA-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"ȘCOALA GIMNAZIALĂ VLĂDILA",371,VLĂDILA,130026,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:26",818,792,1,3,22,504,478,1,3,22,490,14,900,396,329,161
30,OLT,"ȘCOALA GIMNAZIALĂ VLĂDILA",372,VLĂDILA,130026,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:15",772,736,0,2,34,475,439,0,2,34,466,9,854,345,345,121
