precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CATANĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi","ROBU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ANDREI EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA ”NICOLAE PETRESCU”",104,CRIVĂŢ,180055,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:39",813,770,0,6,37,567,525,0,6,36,553,14,843,276,231,208,114
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA ”NICOLAE PETRESCU”",103,CRIVĂŢ,180055,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:00",799,761,0,15,23,571,533,0,15,23,558,13,843,272,248,162,148
