precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-voturi"
32,"SATU MARE","PRIMĂRIA COMUNEI CĂPLENI",164,CĂPLENI,136553,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:44:27",1204,1178,3,1,22,690,667,0,1,22,675,15,1300,610,87,585,3
32,"SATU MARE","ŞCOALA GIMNAZIALĂ ” FÉNYI ISTVÁN ” CĂPLENI",165,CĂPLENI,136553,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:27:44",1485,1444,2,3,36,838,799,0,3,36,815,23,1600,762,92,701,22
