precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNTEANU BOGDAN-GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","FLORI OVIDIU-AURELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","FIRU DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LĂZEANU PAVEL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
17,DOLJ,"ŞCOALA GIMNAZIALĂ ELIZA OPRAN",381,IŞALNIŢA,70094,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:13",1754,1658,1,15,80,1145,1052,0,15,78,1115,30,1961,816,81,959,26,49
17,DOLJ,"ŞCOALA GIMNAZIALĂ ELIZA OPRAN",382,IŞALNIŢA,70094,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:35",1887,1811,0,16,60,1279,1205,0,16,58,1236,43,2000,721,61,1125,30,20
