precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞERBAN COSTICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILESCU FLORENTINA-IULIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","JANTEA DUMITRU-TITEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DRĂGUŞIN ION-PARTIDUL SOCIAL DEMOCRAT-voturi","CREŢU GRIGORE-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:16:39",1015,1006,2,1,6,565,558,0,1,6,552,13,1100,535,73,24,94,355,6
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,2,PART,PRCNCT,P,P_SV,"2024-06-12 17:24:48",994,978,0,3,13,545,529,0,3,13,529,16,1103,558,128,22,67,308,4
