precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPESCU IONEL-ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUŢA VALENTIN-PETRICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","GRIJINCU MIRCEA-DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CASA DE CULTURĂ",354,"HORODNIC DE SUS",151479,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:45:20",1780,1779,0,1,0,931,930,0,1,0,907,24,2000,1069,63,802,42
35,SUCEAVA,"SCOALA GIMNAZIALA NR.2",353,"HORODNIC DE SUS",151479,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:59",1262,1261,1,0,0,591,591,0,0,0,562,29,1308,717,34,509,19
35,SUCEAVA,"SCOALA GIMNAZIALA NR.3",355,"HORODNIC DE SUS",151479,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:09:24",1134,1133,1,0,0,481,480,1,0,0,447,34,1300,819,30,405,12
