precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","APOSTOL IOAN-CEZAR-voturi"
26,MARAMUREŞ,PRIMĂRIE,442,"VIŞEU DE JOS",109504,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:54",1390,1364,4,6,16,741,717,2,6,16,722,19,1500,759,368,202,76,37,6,9,24
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII",444,"VIŞEU DE JOS",109504,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:49:11",1276,1256,0,9,11,672,652,0,9,11,635,37,1431,759,277,255,42,34,8,15,4
26,MARAMUREŞ,"ȘCOALA PRIMARĂ",443,"VIŞEU DE JOS",109504,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:06:08",1489,1462,2,5,20,854,828,1,5,20,824,29,1600,747,441,256,57,36,8,17,9
