precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂRCULESCU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","GEORGESCU ALADIN-GIGI-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRCU DOINIŢA-MARIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CUPĂ MARIA-RAMONA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","VIŞAN SEVER-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DRĂGHIA GEORGETA-PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"ASOCIAȚIA DE PROPRIETARI NR.90",5,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:54:43",875,868,0,6,1,402,395,0,6,1,371,31,989,587,90,190,33,42,4,12
27,MEHEDINŢI,"ASOCIATIA LIGA ”SOLIDARITATEA” A PENSIONARILOR",20,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:42:46",1106,1094,1,11,0,445,434,0,11,0,423,22,1189,744,89,228,43,40,6,17
27,MEHEDINŢI,"CĂMIN CULTURAL BREZNITA-MOTRU",121,BREZNIŢA-MOTRU,110740,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:35:34",853,713,0,79,61,657,517,0,79,61,626,31,858,201,209,359,39,11,1,7
27,MEHEDINŢI,"CĂMIN CULTURAL BROŞTENI",126,BROŞTENI,110875,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:42:06",1316,1201,0,86,29,886,771,0,86,29,845,41,1347,461,205,346,210,66,6,12
27,MEHEDINŢI,"CĂMIN CULTURAL BUSEȘTI",202,ISVERNA,112370,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:07",141,128,0,13,0,101,88,0,13,0,98,3,143,42,3,71,11,11,2,0
27,MEHEDINŢI,"CAMIN CULTURAL ILOVĂŢ",198,ILOVĂŢ,112263,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:19:11",1210,918,1,241,50,953,662,0,241,50,917,36,1293,340,256,581,53,10,5,12
27,MEHEDINŢI,"CĂMIN CULTURAL ISVERNA",201,ISVERNA,112370,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:40:28",1274,1245,1,18,10,896,868,0,18,10,860,36,1391,495,35,628,115,54,18,10
27,MEHEDINŢI,"CAMIN CULTURAL VANATORI",279,VÂNĂTORI,113849,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:08",923,845,0,16,62,503,425,0,16,62,491,12,930,427,33,402,30,16,4,6
27,MEHEDINŢI,"CĂMIN CULTURAL VÎNJULEŢ",281,VÂNJULEŢ,113894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:39:44",1563,1463,12,39,49,766,678,0,39,49,734,32,1611,845,530,135,37,11,6,15
27,MEHEDINŢI,"CĂMINUL CULTURAL",190,GRUIA,112030,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:04:43",710,668,0,25,17,710,668,0,25,17,309,10,734,400,39,253,0,1,4,12
27,MEHEDINŢI,"CĂMINUL CULTURAL",153,CUJMIR,111444,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:43:16",1076,1005,0,25,46,701,631,0,25,45,693,8,1157,456,118,500,31,32,1,11
27,MEHEDINŢI,"CĂMINUL CULTURAL",154,CUJMIR,111444,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:54",685,593,0,19,73,502,410,0,19,73,488,14,704,202,94,355,12,17,2,8
27,MEHEDINŢI,"CĂMINUL CULTURAL BAHNA",200,ILOVIŢA,112334,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:05:09",437,406,0,25,6,324,293,0,25,6,309,15,447,123,73,199,11,21,0,5
27,MEHEDINŢI,"CĂMINUL CULTURAL BALA",96,BALA,110296,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:10:45",750,692,0,52,6,512,454,0,52,6,486,26,763,251,161,186,59,58,5,17
27,MEHEDINŢI,"CĂMINUL CULTURAL BALTA",106,BALTA,110456,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:30:35",438,280,0,145,13,370,212,0,145,13,354,16,470,100,220,88,23,14,0,9
27,MEHEDINŢI,"CĂMINUL CULTURAL BÎRÎIACU",236,PONOARELE,112995,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:24:58",237,220,0,13,4,173,156,0,13,4,167,6,247,74,55,83,19,7,1,2
27,MEHEDINŢI,"CĂMINUL CULTURAL BISTRIȚA",193,HINOVA,112076,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:34:21",1379,1148,0,219,12,1004,773,0,219,12,967,37,1250,246,332,525,69,17,2,22
27,MEHEDINŢI,"CĂMINUL CULTURAL BOBAIŢA",217,MALOVĂŢ,112664,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:39",546,464,0,70,12,360,278,0,70,12,342,18,521,161,25,264,25,10,9,9
27,MEHEDINŢI,"CĂMINUL CULTURAL CEARÎNG",250,PUNGHINA,113395,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:47:16",112,107,0,5,0,95,90,0,5,0,95,0,119,24,0,94,0,1,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL CERVENIŢA",245,PRUNIŞOR,113233,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:28:07",369,294,0,69,6,266,191,0,69,6,253,13,370,104,62,169,16,4,0,2
27,MEHEDINŢI,"CĂMINUL CULTURAL CIOROBORENI",208,JIANA,112548,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:29:31",537,513,0,3,21,367,343,0,3,21,361,6,562,195,8,346,3,0,1,3
27,MEHEDINŢI,"CĂMINUL CULTURAL CIREŞU",142,CIREŞU,111220,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:26",494,383,0,91,20,376,265,0,91,20,363,13,494,118,60,265,22,12,1,3
27,MEHEDINŢI,"CĂMINUL CULTURAL CORCOVA",143,CORCOVA,111275,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:10:05",1098,971,3,109,15,720,593,3,109,15,677,33,1063,353,128,447,31,27,2,42
27,MEHEDINŢI,"CĂMINUL CULTURAL COSTEŞTI",107,BALTA,110456,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:11:02",167,117,0,49,1,143,93,0,49,1,141,2,178,35,75,57,1,5,0,3
27,MEHEDINŢI,"CĂMINUL CULTURAL DĂNCEU",209,JIANA,112548,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:23",1096,1044,0,6,46,528,476,0,6,46,528,0,1145,617,12,498,5,4,2,7
27,MEHEDINŢI,"CĂMINUL CULTURAL DUMBRAVA DE JOS",166,DUMBRAVA,111587,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:10",375,324,1,33,17,270,219,1,33,17,253,17,353,83,3,218,11,21,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL FÎNTÎNA DOMNEASCĂ",246,PRUNIŞOR,113233,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:39",363,298,0,62,3,292,227,0,62,3,283,9,383,91,94,158,14,7,0,10
27,MEHEDINŢI,"CĂMINUL CULTURAL GĂRDĂNEASA",237,PONOARELE,112995,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:28",394,380,0,14,0,264,250,0,14,0,253,11,418,154,54,155,32,4,1,7
