precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"GRADINITA CU PROGRAM NORMAL NR.1 MATCA",345,MATCA,76692,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:10",1427,1418,0,9,0,731,722,0,9,0,697,34,1580,849,1,139,503,21,1,1,0,2,12,2,2,12,1
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 SAT PLEŞA",238,BEREŞTI-MERIA,75356,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:53",512,502,0,5,5,281,271,0,5,5,270,11,552,271,2,109,141,8,0,1,2,0,3,1,1,0,2
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 SLOBOZIA CORNI",313,GHIDIGENI,76406,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:33",647,640,0,5,2,341,334,0,5,2,329,12,715,374,1,153,123,22,0,1,0,1,7,16,0,3,2
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 20, ARONDATĂ ȘCOLII GIMNAZIALE ”MIRON COSTIN” (GRĂDINIȚA NR. 20 - ANEXA ȘCOLII NR. 12)",175,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:01",1735,1718,8,9,0,683,674,0,9,0,664,10,2000,1317,7,64,334,54,4,77,1,3,25,9,3,67,16
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 20, ARONDATĂ ȘCOLII GIMNAZIALE ”MIRON COSTIN” (GRĂDINIȚA NR. 20 - ANEXA ȘCOLII NR. 12)",176,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:27",1307,1298,1,8,0,472,464,0,8,0,462,10,1600,1128,8,43,270,32,3,28,3,4,11,9,2,39,10
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 29, ARONDATĂ GRĂDINIȚEI CU PROGRAM PRELUNGIT ”CAMIL RESSU” (GRĂDINIȚA FILEȘTI - GRĂDINIȚA NR.29)",140,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:25",477,469,0,8,0,207,199,0,8,0,199,8,500,293,2,9,92,27,1,8,0,1,15,15,1,17,11
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 UMBRĂREȘTI-DEAL",425,UMBRĂREŞTI,77402,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:31",1015,1010,0,5,0,532,527,0,5,0,499,33,1111,579,7,175,264,28,2,2,0,0,0,5,0,13,3
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 59 (FOSTA ȘCOALĂ GIMNAZIALĂ ”NICOLAE MANTU”)",96,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:59",1370,1360,1,9,0,556,546,1,9,0,520,16,2000,1464,1,58,269,57,4,37,2,4,15,7,9,38,19
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 59 (FOSTA ȘCOALĂ GIMNAZIALĂ ”NICOLAE MANTU”)",95,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:43",1548,1535,3,10,0,621,611,0,10,0,607,14,2000,1379,2,64,345,45,1,47,1,1,17,23,4,51,6
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL ”VIOLETA” PECHEA",373,PECHEA,76969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:59:46",1279,1273,0,5,1,509,503,0,5,1,476,33,1450,941,4,123,272,34,1,0,0,3,10,19,0,9,1
