precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞULUMBERCHEAN ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SUCIU NICULIŢĂ-ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PILOIU ILIE-CĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OLTEAN NICOLAE-PARTIDUL PRO ROMÂNIA-voturi","CORBAN MIRCEA-RAREŞ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"CĂMIN CULTURAL IGHIŞU VECHI",241,BÂRGHIŞ,144232,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:57",107,99,2,6,0,107,99,2,6,0,102,5,200,93,33,10,50,7,2
34,SIBIU,"DISPENSAR UMAN VECERD",243,BÂRGHIŞ,144232,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:55:29",91,86,0,5,0,46,41,0,5,0,46,0,100,54,18,7,16,4,1
34,SIBIU,"GRĂDINIȚA CU PROGRAM NORMAL BÎRGHIȘ",239,BÂRGHIŞ,144232,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:04",615,602,0,0,13,391,378,0,0,13,376,15,660,269,255,7,76,29,9
34,SIBIU,"ŞCOALA PRIMARĂ APOȘ",240,BÂRGHIŞ,144232,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:56",278,275,1,2,0,141,139,0,2,0,135,6,300,159,59,7,53,15,1
34,SIBIU,"ŞCOALA PRIMARĂ PELIȘOR",242,BÂRGHIŞ,144232,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:18:06",403,396,0,7,0,191,184,0,7,0,182,9,439,248,34,24,96,3,25
34,SIBIU,"ŞCOALA PRIMARĂ ZLAGNA",244,BÂRGHIŞ,144232,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:13",141,137,2,2,0,69,65,2,2,0,64,5,150,81,25,3,23,3,10
