precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOLIDARITĂȚII SOCIALE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROGIN TUDOR-BOGDAN-voturi"
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",63,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:01:08",1048,1044,0,4,0,306,302,0,4,0,299,7,1148,842,74,39,156,3,10,12,4,1
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",62,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:48",1205,1199,0,6,0,427,421,0,6,0,417,10,1329,902,89,33,235,3,26,11,11,9
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",61,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:43",1146,1124,1,8,13,408,387,0,8,13,400,8,1241,833,83,35,246,2,21,7,1,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 12",64,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:04:39",931,925,0,6,0,319,313,0,6,0,304,15,1024,705,88,41,156,1,7,7,0,4
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (BETON)",4,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:40",598,588,3,7,0,210,203,0,7,0,207,3,651,441,47,18,113,2,20,3,1,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (BETON)",5,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:10",1010,1004,1,5,0,295,290,0,5,0,288,7,1112,817,66,30,154,4,18,6,7,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (CASA MUNCITOREASCĂ)",7,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:00:02",997,988,2,7,0,213,206,0,7,0,200,13,1094,881,46,28,101,1,14,6,2,2
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 (CASA MUNCITOREASCĂ)",6,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:30",1387,1383,0,4,0,453,449,0,4,0,444,9,1528,1075,95,44,241,8,37,10,3,6
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",12,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:27:51",1110,1104,1,4,1,458,453,0,4,1,445,8,1220,762,95,36,265,5,29,7,3,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",11,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:52",1177,1156,5,6,10,480,464,0,6,10,468,12,1281,801,112,30,278,6,20,9,6,7
