precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JÁNOSI FERENC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","NĂSTASE ŞTEFAN-UNIUNEA SALVAȚI ROMÂNIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL CĂLUŞERI",357,ERNEI,116652,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:58:57",462,448,0,0,14,231,217,0,0,14,222,9,506,275,169,53
28,MUREŞ,"CĂMINUL CULTURAL DUMBRĂVIOARA",358,ERNEI,116652,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:17:34",1482,1457,1,1,23,682,658,0,1,23,650,32,1630,948,595,55
28,MUREŞ,"CĂMINUL CULTURAL ERNEI",355,ERNEI,116652,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:01",890,860,0,1,29,467,439,0,1,27,447,20,980,513,409,38
28,MUREŞ,"CĂMINUL CULTURAL ICLAND",359,ERNEI,116652,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:48:17",330,318,3,1,8,177,166,2,1,8,168,9,355,178,154,14
28,MUREŞ,"CĂMINUL CULTURAL SÎNGERU DE PĂDURE",361,ERNEI,116652,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:02:58",323,323,0,0,0,100,100,0,0,0,76,24,335,235,57,19
28,MUREŞ,"SALA DE ŞEDINŢE - PRIMĂRIA COMUNEI ERNEI",356,ERNEI,116652,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:29:54",1200,1168,2,2,28,657,627,0,2,28,619,38,1320,663,486,133
28,MUREŞ,"SCOALA PRIMARĂ SĂCĂRENI",360,ERNEI,116652,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:06:01",215,207,0,3,5,82,74,0,3,5,79,3,230,148,68,11
