precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GREAB SORIN-CORNEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","BĂRBOS TAVI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUGA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","OLTEAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CIOŞAN MARIUS-LUCIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",286,TEACA,34985,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:13:50",426,418,1,7,0,276,269,0,7,0,269,7,450,174,20,8,109,92,40
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUDURLENI",287,TEACA,34985,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:13:57",73,66,0,7,0,51,44,0,7,0,48,3,100,49,1,1,16,23,7
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL OCNIŢA",288,TEACA,34985,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:51",764,753,0,7,4,440,429,0,7,4,422,18,800,360,19,5,95,250,53
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL PINTICU",289,TEACA,34985,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:03",602,597,0,5,0,294,289,0,5,0,283,11,650,356,7,15,44,127,90
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL TEACA",284,TEACA,34985,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:22:37",865,860,2,0,3,421,416,2,0,3,402,19,950,529,65,21,84,202,30
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VIILE TECII",290,TEACA,34985,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:31:52",877,860,1,7,9,424,408,0,7,9,403,21,950,526,18,43,64,186,92
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI TEACA",285,TEACA,34985,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:50",768,753,0,7,8,452,437,0,7,8,442,10,850,398,74,39,66,229,34
