precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILIE IONEL-MIREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRAGOŞ LUCIA-PARTIDUL SOCIAL DEMOCRAT-voturi","VODICEAN IOAN-voturi"
2,ARAD,"CĂMIN CULTURAL VALEA MARE",346,SĂVÂRŞIN,11842,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:16:53",170,154,0,8,8,111,95,0,8,8,107,3,180,70,22,12,73
2,ARAD,"CĂMINUL CULTURAL SĂVÂRȘIN",340,SĂVÂRŞIN,11842,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:29:17",1274,1227,2,17,28,806,762,0,17,27,776,30,1367,561,156,106,514
2,ARAD,"CĂMINUL CULTURAL TEMEŞEŞTI",343,SĂVÂRŞIN,11842,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:07",105,95,0,8,2,75,65,0,8,2,75,0,110,35,26,14,35
2,ARAD,"CĂMINUL CULTURAL TOC",344,SĂVÂRŞIN,11842,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:26:33",346,331,1,8,6,229,215,0,8,6,220,9,370,141,33,36,151
2,ARAD,"CĂMINUL CULTURAL TROAȘ",345,SĂVÂRŞIN,11842,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:22:12",138,130,0,8,0,83,75,0,8,0,78,5,140,57,22,14,42
2,ARAD,"ŞCOALA PRIMARĂ CĂPRIOARA",341,SĂVÂRŞIN,11842,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:11",221,186,0,6,29,146,111,0,6,29,141,5,240,94,13,22,106
2,ARAD,"ŞCOALA PRIMARĂ PÂRNEŞTI",342,SĂVÂRŞIN,11842,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:12",136,126,0,5,5,102,92,0,5,5,92,10,148,46,17,29,46
