precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONDRAT GHEORGHE-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MÎRZA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"GRĂDINIȚA ȘESU MÂNĂSTIRII",388,ROZAVLEA,108669,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:38:29",833,791,0,29,13,833,791,0,29,13,452,14,944,478,72,380
26,MARAMUREŞ,PRIMĂRIA,387,ROZAVLEA,108669,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:38:51",1986,1894,0,45,47,1143,1051,0,45,47,1095,38,2000,857,147,948
