precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂNICĂ IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITRAŞCU DRAGOŞ-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","DUDESCU IACOB-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PETRE NICOLAE-GEORGIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL DIN SATUL ŞARÎNGA",312,PIETROASELE,48487,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:37:10",1153,1100,4,17,32,634,584,1,17,32,616,18,1211,577,308,30,27,251
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PIETROASELE",311,PIETROASELE,48487,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:23",814,782,0,5,27,814,782,0,5,27,792,22,1600,786,382,30,13,367
