precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","CÂCĂU IOAN-voturi"
32,"SATU MARE","CĂMIN CULTURAL GHERȚA MICĂ",204,"GHERŢA MICĂ",137746,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:28:43",1340,1318,0,9,13,515,493,0,9,13,463,52,1448,933,153,45,107,130,28
32,"SATU MARE","PRIMARIA COMUNEI",203,"GHERŢA MICĂ",137746,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:09:49",1594,1572,1,1,20,588,567,0,1,20,547,41,1728,1140,169,55,149,153,21
