precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ELENA DAVILA PERTICARI",355,IZVORU,16739,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:42:36",867,862,0,5,0,563,558,0,5,0,542,21,941,378,54,260,28,168,32
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ELENA DAVILA PERTICARI",356,IZVORU,16739,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:25",858,843,0,13,2,562,547,0,13,2,528,34,941,379,73,252,27,128,48
