precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BORBÉLY ZSUZSÁNNA-voturi","TIFÁN CSABA-voturi"
21,HARGHITA,"PRIMĂRIA COMUNEI VĂRȘAG",283,VĂRŞAG,86311,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:19",1102,1084,7,0,11,641,628,2,0,11,613,28,1200,559,411,94,108
21,HARGHITA,"ȘCOALĂ PRIMARĂ SOLYOMKO",284,VĂRŞAG,86311,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:43:04",270,264,4,0,2,152,150,0,0,2,145,7,299,147,133,6,6
