precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTU IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BLAGAN ELEONOR-PARTIDUL NAȚIONAL LIBERAL-voturi","COLIŞ PAUL-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"LICEUL TEORETIC BĂNEASA CORP A",379,BĂNEASA,61069,1,PROV,PRCNCT,P,P_SV,"2024-06-10 14:44:26",1616,1579,0,5,32,1052,1015,0,5,32,1019,29,1738,690,65,520,434
14,CONSTANŢA,"LICEUL TEORETOC BĂNEASA CORP B",378,BĂNEASA,61069,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:44",1050,1026,0,5,19,649,625,0,5,19,623,26,1133,484,24,460,139
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.1 FĂUREI",380,BĂNEASA,61069,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:30:06",1098,1087,0,10,1,593,582,0,10,1,551,42,1195,602,4,345,202
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.2 NEGURENI",381,BĂNEASA,61069,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:18",543,525,0,4,14,352,334,0,4,14,344,8,602,250,36,222,86
