precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGUŢ DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BRĂILESCU MARIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PURICE MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
9,BRĂILA,"SCOALA GIMNAZIALĂ NR.1",200,JIRLĂU,43466,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:17",1095,1066,0,8,21,602,573,0,8,21,590,12,1153,551,540,30,20
9,BRĂILA,"ŞCOALA GIMNAZIALĂ NR.2",199,JIRLĂU,43466,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:36",1347,1317,0,6,24,735,705,0,6,24,715,20,1500,765,659,24,32
