precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"GRĂDINIȚA COPII RIMETEA",357,RIMETEA,6592,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:37",446,425,1,9,11,272,252,0,9,11,265,7,472,200,42,186,37
1,ALBA,"ŞCOALA PRIMARA COLŢEŞTI",358,RIMETEA,6592,8,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:14:31",439,415,0,3,21,263,239,0,3,21,259,4,468,205,18,231,10
