precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPULESCU ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MARTINESCU PAVEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HERELESCU TEODOR-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞANDRU ILIE-FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL ” PRICHINDELUL” CRUŞOVĂŢ",219,CORNEA,52115,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:16",423,355,0,35,33,334,266,0,35,33,331,3,384,50,21,292,18,0
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ CUPTOARE",220,CORNEA,52115,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:06",507,475,0,14,18,369,337,0,14,18,365,4,520,151,234,77,54,0
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ” TRAIAN LALESCU ” CORNEA",218,CORNEA,52115,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:35:38",581,540,0,13,28,464,423,0,13,28,459,5,625,161,143,58,248,10
