precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRARIU MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","MACHIDON VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FOCŞA IOAN-IONUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","SOLOMIA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"GRADINITA NR.2 UNGURENI",481,VÂNĂTORI-NEAMŢ,125016,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:04:33",1429,1422,2,4,1,743,738,0,4,1,676,60,1600,864,452,29,28,167
29,NEAMŢ,"MĂNĂSTIREA NEAMȚ",485,VÂNĂTORI-NEAMŢ,125016,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:55",199,196,0,3,0,130,127,0,3,0,120,10,275,145,75,10,2,33
29,NEAMŢ,"MANASTIREA SIHASTRIA",483,VÂNĂTORI-NEAMŢ,125016,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:11:15",185,177,0,8,0,86,78,0,8,0,83,3,276,190,56,10,2,15
29,NEAMŢ,"SCOALA GIMNAZIALA”ARHIM.CHIRIAC NECULAU” NEMTISOR",486,VÂNĂTORI-NEAMŢ,125016,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:54:07",1192,1181,3,7,1,504,496,0,7,1,468,36,1300,796,324,25,27,92
29,NEAMŢ,"SCOALA GIMNAZIALA ”ARHIM. CHIRIAC NICOLAU”",484,VÂNĂTORI-NEAMŢ,125016,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:05",1109,1101,0,8,0,558,550,0,8,0,540,18,1200,642,336,35,11,158
29,NEAMŢ,"SCOALA GIMNAZIALA ”ARHIM. CHIRIAC NICOLAU”",480,VÂNĂTORI-NEAMŢ,125016,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:01",1303,1293,1,7,2,678,669,0,7,2,655,23,1400,722,337,16,66,236
29,NEAMŢ,"SCOALA GIMNAZIALA ”ARHIM. CHIRIAC NICOLAU” NR.2",482,VÂNĂTORI-NEAMŢ,125016,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:59",1353,1344,2,5,2,648,641,0,5,2,597,51,1471,823,247,32,77,241
