county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","IOJĂ LAZĂR-voturi","IOJĂ LAZĂR-mandate-faza-1","IOJĂ LAZĂR-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","CĂTĂNEA MARICICA-voturi","CĂTĂNEA MARICICA-mandate-faza-1","CĂTĂNEA MARICICA-mandate-faza-2","JINGA ION-voturi","JINGA ION-mandate-faza-1","JINGA ION-mandate-faza-2","MĂRCUŢ ION-voturi","MĂRCUŢ ION-mandate-faza-1","MĂRCUŢ ION-mandate-faza-2","ARDELEANU GHEORGHE-voturi","ARDELEANU GHEORGHE-mandate-faza-1","ARDELEANU GHEORGHE-mandate-faza-2","DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-voturi","DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-mandate-faza-1","DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-mandate-faza-2","PETREA PAUL-voturi","PETREA PAUL-mandate-faza-1","PETREA PAUL-mandate-faza-2","BUCHIR COSTEL-voturi","BUCHIR COSTEL-mandate-faza-1","BUCHIR COSTEL-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","PATRAŞCU ANTON-voturi","PATRAŞCU ANTON-mandate-faza-1","PATRAŞCU ANTON-mandate-faza-2","VELEA MARIAN-voturi","VELEA MARIAN-mandate-faza-1","VELEA MARIAN-mandate-faza-2","STANCIU TEODOR-voturi","STANCIU TEODOR-mandate-faza-1","STANCIU TEODOR-mandate-faza-2","SURUGIU DANIEL-voturi","SURUGIU DANIEL-mandate-faza-1","SURUGIU DANIEL-mandate-faza-2","DOBOŞ AUGUSTIN-voturi","DOBOŞ AUGUSTIN-mandate-faza-1","DOBOŞ AUGUSTIN-mandate-faza-2","OPRIŞAN ŞTEFAN-BOGDAN-voturi","OPRIŞAN ŞTEFAN-BOGDAN-mandate-faza-1","OPRIŞAN ŞTEFAN-BOGDAN-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ELECTORALĂ PSD PNL-mandate-faza-1","ALIANȚA ELECTORALĂ PSD PNL-mandate-faza-2","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-1","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-mandate-faza-1","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-mandate-faza-2","CHIRILESCU DORIN-voturi","CHIRILESCU DORIN-mandate-faza-1","CHIRILESCU DORIN-mandate-faza-2","LUNCANU CLARA-voturi","LUNCANU CLARA-mandate-faza-1","LUNCANU CLARA-mandate-faza-2","ANTIP CRINA-RAMONA-voturi","ANTIP CRINA-RAMONA-mandate-faza-1","ANTIP CRINA-RAMONA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-mandate-g8","UNIUNEA SALVAȚI ROMÂNIA-mandate-g9","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-mandate-faza-1","ALIANȚA NAȚIONAL CREȘTINĂ-mandate-faza-2","LANG ILIE-voturi","LANG ILIE-mandate-faza-1","LANG ILIE-mandate-faza-2","CHIRILOIU OANA-IONELA-voturi","CHIRILOIU OANA-IONELA-mandate-faza-1","CHIRILOIU OANA-IONELA-mandate-faza-2","CRIŞAN IOAN-voturi","CRIŞAN IOAN-mandate-faza-1","CRIŞAN IOAN-mandate-faza-2","RUSU BEBI-voturi","RUSU BEBI-mandate-faza-1","RUSU BEBI-mandate-faza-2","BOTEZATU VASILE-voturi","BOTEZATU VASILE-mandate-faza-1","BOTEZATU VASILE-mandate-faza-2","CERNEA MIHAI-ANDREI-voturi","CERNEA MIHAI-ANDREI-mandate-faza-1","CERNEA MIHAI-ANDREI-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-mandate-g9","PARTIDUL NAȚIONAL LIBERAL-mandate-g9","FECHET IOSIF-voturi","FECHET IOSIF-mandate-faza-1","FECHET IOSIF-mandate-faza-2","CIOROABĂ VASILE-voturi","CIOROABĂ VASILE-mandate-faza-1","CIOROABĂ VASILE-mandate-faza-2"
4,BACĂU,AGĂŞ,21007,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:58:50",4864,4820,3,37,4,2509,2468,0,37,4,2413,96,5300,2791,120,168,193,146,679,4,1,1329,9,0,37,0,0,182,1,0,74,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,ARDEOANI,21098,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:15:49",1941,1882,0,26,33,1263,1204,0,26,33,1205,58,2096,833,60,84,96,105,44,0,0,527,5,0,0,0,0,634,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,ASĂU,21123,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:14:57",5427,5361,1,36,29,2744,2678,1,36,29,2635,109,5931,3187,131,184,210,171,364,2,0,1474,8,1,0,0,0,346,2,0,0,0,0,0,0,0,67,0,0,151,0,1,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BALCANI,21196,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:41:01",6346,6249,1,24,72,2634,2538,0,24,72,2476,158,6907,4273,123,173,198,165,726,4,0,1287,7,1,0,0,0,316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BÂRSĂNEŞTI,21454,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:22:33",3641,3629,3,9,0,1699,1687,3,9,0,1565,132,3900,2201,78,109,125,120,535,4,1,773,6,0,0,0,0,257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BEREŞTI-BISTRIŢA,21249,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:35:23",1688,1661,2,8,17,926,901,0,8,17,886,40,1757,831,44,62,70,80,361,4,0,455,5,1,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BEREŞTI-TAZLĂU,21338,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:04:27",4405,4289,1,35,80,2168,2053,0,35,80,2043,125,4698,2530,102,143,163,132,441,3,1,1182,8,1,0,0,0,251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BERZUNŢI,21418,1,FINAL,UAT,CL,CL_CE,"2024-06-10 17:59:26",4151,4106,0,35,10,2112,2067,0,35,10,1920,183,4500,2391,96,134,153,119,107,0,1,618,5,0,0,0,0,108,0,1,124,1,0,0,0,0,841,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BLĂGEŞTI,21506,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:00:50",5825,5797,6,22,0,2803,2778,3,22,0,2565,238,6304,3501,128,179,205,171,438,2,1,1638,9,1,0,0,0,242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BACĂU,BOGDĂNEŞTI,21560,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:09:37",2201,2181,1,12,7,1116,1097,0,12,7,1040,76,2400,1284,52,72,83,87,148,1,1,249,2,1,0,0,0,570,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
