precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:10:40",1223,1155,1,16,51,901,834,0,16,51,763,71,1338,504,626,29,23,2,83
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:32:48",1208,1074,1,81,52,774,641,0,81,52,752,22,1240,466,498,34,14,6,200
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:29",474,442,0,6,26,282,250,0,6,26,280,2,510,228,219,5,1,1,54
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:15",1113,1067,0,1,45,591,552,0,1,38,545,46,1180,589,180,24,29,39,273
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 16:14:23",755,681,0,39,35,509,435,0,39,35,488,21,790,281,364,22,9,9,84
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:26:15",689,532,0,82,75,617,460,0,82,75,606,11,670,53,223,8,6,9,360
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 22:28:01",1225,1156,0,11,58,802,733,0,11,58,771,30,1270,469,651,26,15,7,72
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:10:21",701,645,0,32,24,514,458,0,32,24,507,7,700,186,463,10,8,11,15
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,320,17,605,268,210,52,14,9,35
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:28",663,560,1,29,73,416,314,0,29,73,416,0,695,279,386,1,0,0,29
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:55:53",1750,1209,437,58,46,1313,1209,0,58,46,1295,18,1920,607,1203,25,13,14,40
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:03",638,566,0,36,36,427,359,0,34,34,418,9,610,183,308,68,9,4,29
