precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ABRUDAN ALIN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MORAR IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TODEA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII",602,RIŞCA,59238,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:13",734,706,1,21,6,563,536,0,21,6,554,9,813,250,345,32,177
13,CLUJ,"ŞCOALA PRIMARĂ CU CLASELE I-IV",604,RIŞCA,59238,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:41",148,137,0,9,2,102,91,0,9,2,100,2,151,49,64,14,22
13,CLUJ,"ŞCOALA PRIMARĂ CU CLASELE I-IV",603,RIŞCA,59238,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:28",320,301,0,16,3,236,217,0,16,3,225,11,325,89,166,29,30
