precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOROAIA ION-PARTIDUL NAȚIONAL LIBERAL-voturi","BUDAN RADU-ADRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","RADU RAMONA-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OANCEA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","UŢA ION-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MURĂRECI MARIUS-IONUŢ-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
3,ARGEŞ,"ŞCOALA GENERALĂ COSTEŞTI - VÎLSAN",406,MUŞĂTEŞTI,17619,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:47:51",526,511,0,10,5,301,286,0,10,5,290,11,566,265,88,3,15,178,4,2
3,ARGEŞ,"ŞCOALA GENERALĂ STROEŞTI",408,MUŞĂTEŞTI,17619,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:17",840,812,0,13,15,569,541,0,13,15,548,21,910,341,254,11,23,237,12,11
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII",407,MUŞĂTEŞTI,17619,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:52:00",1175,1139,0,19,17,796,760,0,19,17,768,28,1247,451,428,11,15,288,3,23
3,ARGEŞ,"SEDIUL PRIMĂRIEI VECHI - VILSĂNEȘTI",405,MUŞĂTEŞTI,17619,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:56",449,437,0,5,7,262,250,0,5,7,242,20,479,217,127,2,14,95,1,3
