precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LIXANDRU CARMEN-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","GRIGORE ION-ADRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŞERBAN VASILE-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","STAN DUMITRU-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:20",1106,1078,0,15,13,1106,1078,0,15,13,732,21,1200,447,244,212,219,57
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:27:22",1110,1100,0,2,8,758,748,0,2,8,734,22,1206,442,238,222,237,37
