precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRAGNEA GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","VEŢEANU GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","BURTILĂ IONELA-MARIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂDICA ILIE-voturi"
30,OLT,"CAMINUL CULTURAL",349,"VALEA MARE",129656,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:49",694,668,0,23,3,389,363,0,23,3,368,21,752,363,195,2,60,109,2
30,OLT,GRADINITA,351,"VALEA MARE",129656,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:34",509,489,0,16,4,328,308,0,16,4,319,9,555,227,162,4,63,72,18
30,OLT,"GRADINITA VALEA MARE",348,"VALEA MARE",129656,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:59",1288,1242,0,29,17,840,794,0,29,17,823,17,1390,550,385,10,149,276,3
30,OLT,"SCOALA GIMNAZIALA",350,"VALEA MARE",129656,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:55:00",575,558,0,9,8,366,349,0,9,8,362,4,635,269,245,5,71,37,4
