precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
32,"SATU MARE","CAMIN CULTURAL URZICENI",323,URZICENI,139250,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:54",1093,1055,3,4,31,684,648,1,4,31,676,8,1200,516,206,470
32,"SATU MARE","CĂMIN CULTURAL URZICENI PĂDURE",324,URZICENI,139250,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:33:06",158,147,2,5,4,97,88,0,5,4,92,5,163,66,81,11
