precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FLOREA OVIDIU-VIOREL-voturi","IOŢCOV LUCIAN-NICUŞOR-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:05:39",591,573,2,5,11,309,293,0,5,11,295,14,690,381,2,146,24,58,3,1,7,21,14,15,4
37,TIMIŞ,"CENTRUL CULTURAL AL ORAȘULUI DETA",254,"ORAŞ DETA",155458,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:15",1113,1100,2,9,2,372,361,0,9,2,361,11,1200,828,27,122,25,67,22,11,12,31,8,32,4
37,TIMIŞ,"LICEUL TEHNOLOGIC ”SFÂNTUL NICOLAE” DETA",251,"ORAŞ DETA",155458,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:05:56",1671,1645,2,10,14,702,678,0,10,14,680,22,2000,1298,53,264,26,85,49,24,22,54,16,65,22
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DETA",253,"ORAŞ DETA",155458,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:45",1593,1576,2,10,5,546,531,0,10,5,534,12,1600,1054,20,188,39,67,26,16,26,82,6,42,22
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DETA",252,"ORAŞ DETA",155458,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:16",1538,1523,7,6,2,531,523,0,6,2,511,20,1600,1069,31,204,18,71,34,21,13,44,5,35,35
