precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL VERDE-voturi","ACȚIUNEA CONSERVATORILOR ROMÂNI-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ MUŞETEŞTI",253,MUŞETEŞTI,80908,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:13",444,427,0,11,6,332,315,0,11,6,325,7,500,168,28,212,66,4,8,3,3,1
20,GORJ,"ȘCOALA GIMNAZIALĂ MUȘETEȘTI",252,MUŞETEŞTI,80908,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:05",680,638,0,17,25,542,500,0,17,25,542,0,700,158,46,319,134,43,0,0,0,0
20,GORJ,"ŞCOALA PRIMARĂ LARGA",254,MUŞETEŞTI,80908,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:15",474,453,0,10,11,367,346,0,10,11,354,13,529,162,20,164,64,25,1,9,58,13
