precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ONICIUC IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","VOLINTIRIU CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOUARIU ANDREI-PARTIDUL SOCIAL DEMOCRAT-voturi","AENĂCHIOAIE VASILE-voturi"
7,BOTOŞANI,"ŞCOALA CU CLASELE I-IV",419,VLĂSINEŞTI,39792,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:07",462,449,0,10,3,210,197,0,10,3,201,9,500,290,56,62,55,28
7,BOTOŞANI,"ŞCOALA CU CLASELE I-IV",420,VLĂSINEŞTI,39792,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:13:20",1245,1220,0,10,15,481,456,0,10,15,473,8,1339,858,92,109,260,12
7,BOTOŞANI,"ŞCOALA CU CLASELE I-VIII GHEORGHE BURAC",418,VLĂSINEŞTI,39792,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:49",2023,1989,1,6,27,649,618,0,6,25,637,12,2200,1551,105,57,470,5
