precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"CENTRUL DE ZI GARA ROŞIEŞTI",455,ROŞIEŞTI,165817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:55",312,309,1,2,0,171,169,0,2,0,161,10,350,179,12,39,12,80,18
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”VENIAMIN COSTACHI” , ROŞIEŞTI",454,ROŞIEŞTI,165817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:31",940,900,0,11,29,510,499,0,11,0,488,22,1000,490,22,150,28,285,3
39,VASLUI,"ŞCOALA PRIMARĂ GURA IDRICI",456,ROŞIEŞTI,165817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:51",185,175,1,4,5,185,175,1,4,5,176,9,400,215,12,80,18,64,2
39,VASLUI,"ŞCOALA PRIMARĂ IDRICI",457,ROŞIEŞTI,165817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:50:03",298,280,0,7,11,187,169,0,7,11,171,16,300,113,23,13,18,115,2
39,VASLUI,"ŞCOALA PRIMARĂ REDIU",458,ROŞIEŞTI,165817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:15:03",136,122,0,12,2,78,66,0,10,2,72,6,150,72,27,6,14,25,0
39,VASLUI,"ŞCOALA PRIMARĂ VALEA LUI DARIE",459,ROŞIEŞTI,165817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:19",449,422,0,4,23,229,202,0,4,23,218,11,500,271,7,39,26,144,2
