precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GYÖRGY IMRE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","VAIDOŞ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","VAIDOŞ MARCEL-NUCU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GYÖRGY ELEMÉR-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”TEODOR CHINDEA” VOȘLĂBENI",285,VOŞLĂBENI,86339,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:56",1021,955,2,14,50,655,590,1,14,50,635,20,954,299,99,450,23,63
21,HARGHITA,"ȘCOALA PRIMARĂ ”ION CREANGĂ” IZVORU MUREȘULUI",286,VOŞLĂBENI,86339,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:43",667,623,1,10,33,457,414,0,10,33,448,9,800,343,309,131,5,3
